page_id,wikidot_id,slug,status,claimed_total,fetched_total,checksum_expected,checksum_actual,checksum_ok,error,scanned_at
12788,1452339284,sanshi,partial,53,52,21,22,f,is_complete=false,2026-07-28 19:03:12.373332+08
12888,31790744,scp-001-j,partial,70,69,62,61,f,is_complete=false,2026-07-28 19:03:21.854619+08
12927,26512003,scp-004,partial,91,90,83,82,f,is_complete=false,2026-07-28 19:03:22.436087+08
12993,27858974,scp-012,partial,90,89,84,83,f,is_complete=false,2026-07-28 19:03:30.707877+08
13022,27859169,scp-016,partial,51,52,51,52,f,去重后条数 52 ≠ claimed_total 51,2026-07-28 19:03:30.978762+08
13256,1312508479,theme:monotypical,partial,50,49,50,49,f,is_complete=false,2026-07-28 19:03:52.596942+08
13274,29078374,scp-076-2,partial,72,71,70,69,f,is_complete=false,2026-07-28 19:03:52.728356+08
13453,47890082,scp-1033,partial,23,22,23,22,f,is_complete=false,2026-07-28 19:04:06.798128+08
14637,35446602,scp-1764,partial,5,6,5,6,f,去重后条数 6 ≠ claimed_total 5,2026-07-28 19:05:52.392016+08
14647,52773225,scp-1771,partial,1,2,1,2,f,去重后条数 2 ≠ claimed_total 1,2026-07-28 19:05:52.554961+08
14648,500555349,scp-1772,partial,5,6,5,6,f,去重后条数 6 ≠ claimed_total 5,2026-07-28 19:05:52.568468+08
14651,57031282,scp-1775,partial,4,5,4,5,f,去重后条数 5 ≠ claimed_total 4,2026-07-28 19:05:52.607155+08
14921,1165140784,scp-194,partial,18,17,14,13,f,is_complete=false,2026-07-28 19:06:19.37176+08
14947,31687409,scp-1958,partial,12,11,10,9,f,is_complete=false,2026-07-28 19:06:19.683983+08
16408,50710119,scp-3035,partial,74,73,74,73,f,is_complete=false,2026-07-28 19:08:28.980361+08
17406,91157509,scp-4004,partial,24,23,22,21,f,is_complete=false,2026-07-28 19:09:53.179832+08
19079,1413925504,scp-5815,partial,5,4,5,4,f,is_complete=false,2026-07-28 19:12:19.070608+08
19657,1316745342,scp-6555,partial,8,9,8,9,f,去重后条数 9 ≠ claimed_total 8,2026-07-28 19:14:42.520573+08
19714,1453321265,scp-cn-3150,partial,65,64,7,6,f,is_complete=false,2026-07-28 19:14:51.452168+08
20040,1445408138,scp-7061,partial,13,12,5,6,f,is_complete=false,2026-07-28 19:15:23.554646+08
20609,1453160867,scp-8000-ex,partial,19,18,13,12,f,is_complete=false,2026-07-28 19:16:19.401904+08
20620,1452653852,scp-8008,partial,48,47,-14,-13,f,is_complete=false,2026-07-28 19:16:19.922049+08
20622,1453330851,scp-8009,partial,13,14,13,14,f,去重后条数 14 ≠ claimed_total 13,2026-07-28 19:16:20.046807+08
20758,31767061,scp-823,partial,21,22,21,22,f,去重后条数 22 ≠ claimed_total 21,2026-07-28 19:16:36.0625+08
20895,1459717397,scp-cn-3741,partial,58,57,38,37,f,is_complete=false,2026-07-28 19:16:50.777404+08
21309,1022118593,scp-cc-by-sa-3-0-co,partial,21,20,21,20,f,is_complete=false,2026-07-28 19:17:32.481668+08
21346,47302131,scp-cn-012,partial,114,113,96,95,f,is_complete=false,2026-07-28 19:17:32.6784+08
21416,51299371,scp-cn-062,partial,43,42,27,26,f,is_complete=false,2026-07-28 19:17:38.195031+08
21505,311430120,scp-cn-1031,partial,97,96,43,42,f,is_complete=false,2026-07-28 19:17:44.068357+08
21538,835224195,scp-cn-1052,partial,39,38,35,34,f,is_complete=false,2026-07-28 19:17:49.244909+08
21616,801779635,scp-cn-1115,partial,59,57,41,41,t,is_complete=false,2026-07-28 19:17:55.372678+08
21687,1306158064,scp-cn-1172,partial,46,45,32,31,f,is_complete=false,2026-07-28 19:18:01.964355+08
21794,963102922,scp-cn-1251,partial,38,37,30,29,f,is_complete=false,2026-07-28 19:18:13.611405+08
21846,1420140890,scp-cn-1296,partial,62,61,60,59,f,is_complete=false,2026-07-28 19:18:19.603922+08
21847,1447575072,scp-cn-129600-ex,partial,35,34,19,18,f,is_complete=false,2026-07-28 19:18:19.620587+08
21848,1260745405,scp-cn-1297,partial,77,76,39,38,f,is_complete=false,2026-07-28 19:18:19.622308+08
21871,1403286896,scp-cn-1318,partial,67,66,47,46,f,is_complete=false,2026-07-28 19:18:20.048716+08
